supplier,region,weather,shipment_mode,product_category,distance_km,supplier_reliability,lead_time_days,order_volume,inventory_level,route_risk,traffic_index,disrupted
Supplier_D,South,Heatwave,Road,Pharma,340.0,0.91,4.8,374.0,588.0,0.388,0.299,0
Supplier_D,South,Storm,Air,Pharma,487.0,0.697,8.4,414.0,516.0,0.632,0.652,1
Supplier_B,East,Clear,Sea,Textile,722.0,1.0,5.9,410.0,564.0,0.27,0.639,0
Supplier_A,North,Storm,Rail,Automotive,877.0,0.669,9.0,501.0,241.0,0.882,0.398,1
Supplier_E,Central,Heatwave,Road,Textile,197.0,1.0,1.5,213.0,493.0,0.502,0.616,0
Supplier_C,West,Clear,Road,Food,395.0,0.892,5.1,521.0,325.0,0.01,0.347,0
Supplier_E,West,Rain,Road,Food,457.0,0.626,1.0,290.0,727.0,0.059,0.361,0
Supplier_D,North,Heatwave,Road,Textile,757.0,0.815,4.7,297.0,650.0,0.397,0.671,1
Supplier_D,West,Clear,Rail,Automotive,413.0,0.896,2.9,579.0,650.0,0.121,0.595,0
Supplier_D,Central,Flood,Road,Pharma,438.0,0.746,9.8,241.0,877.0,0.46,0.449,1
Supplier_A,North,Clear,Rail,Food,183.0,0.906,7.2,579.0,427.0,0.259,0.424,0
Supplier_B,West,Rain,Sea,Pharma,676.0,0.902,9.0,438.0,379.0,0.111,0.538,0
Supplier_C,South,Storm,Road,Automotive,508.0,0.869,4.7,123.0,422.0,0.157,0.096,0
Supplier_C,West,Rain,Road,Electronics,380.0,0.778,2.9,666.0,148.0,0.52,0.333,0
Supplier_A,East,Rain,Road,Textile,483.0,0.604,2.8,476.0,165.0,0.01,0.222,0
Supplier_C,Central,Rain,Road,Textile,843.0,0.768,6.8,491.0,637.0,0.559,0.503,0
Supplier_A,North,Clear,Rail,Electronics,289.0,0.806,11.4,601.0,193.0,0.565,0.739,0
Supplier_D,South,Clear,Sea,Automotive,331.0,0.499,7.2,690.0,264.0,0.284,0.605,0
Supplier_D,South,Clear,Sea,Electronics,876.0,0.805,4.9,456.0,478.0,0.069,0.387,0
Supplier_E,South,Rain,Rail,Pharma,570.0,0.765,,531.0,409.0,0.461,0.345,0
Supplier_D,South,Clear,Road,Pharma,724.0,0.586,5.9,487.0,695.0,0.253,0.334,0
Supplier_B,South,Clear,Road,Food,654.0,0.73,12.1,358.0,513.0,0.047,0.94,0
Supplier_E,North,Flood,Road,Textile,541.0,0.733,9.7,135.0,324.0,0.732,0.515,1
Supplier_C,West,Clear,Road,Food,459.0,,6.8,459.0,714.0,0.173,0.544,0
Supplier_B,East,Clear,Sea,Pharma,766.0,0.813,6.3,668.0,660.0,0.056,0.036,0
Supplier_E,Central,Clear,Rail,Electronics,852.0,0.935,6.9,525.0,190.0,0.407,0.24,0
Supplier_B,West,Clear,Road,Textile,832.0,0.762,7.5,228.0,555.0,0.336,0.49,0
Supplier_A,North,Storm,Road,Pharma,242.0,0.499,4.8,618.0,343.0,0.647,0.39,1
Supplier_C,North,Clear,Road,Food,889.0,0.881,3.5,364.0,337.0,0.274,0.529,0
Supplier_D,East,Clear,Sea,Electronics,457.0,0.681,9.1,43.0,911.0,0.276,0.526,0
Supplier_A,East,Heatwave,Road,Pharma,354.0,0.73,6.1,603.0,527.0,0.417,0.632,1
Supplier_C,South,Storm,Road,Food,506.0,0.622,8.8,250.0,452.0,0.39,0.089,1
Supplier_A,West,Storm,Road,Textile,766.0,0.791,10.9,741.0,519.0,0.396,0.257,1
Supplier_D,East,Flood,Sea,Pharma,691.0,0.94,7.6,627.0,692.0,0.404,0.478,1
Supplier_C,West,Heatwave,Rail,Food,484.0,0.92,7.1,379.0,346.0,0.383,0.358,0
Supplier_B,North,Clear,Rail,Textile,768.0,1.0,15.6,503.0,383.0,0.267,0.432,0
Supplier_B,Central,Rain,Road,Pharma,586.0,1.0,6.6,856.0,644.0,0.517,0.524,0
Supplier_C,South,Rain,Road,Pharma,401.0,0.473,2.7,600.0,166.0,0.278,0.336,1
Supplier_D,East,Clear,Sea,Electronics,366.0,0.601,5.2,463.0,718.0,0.511,0.542,1
Supplier_E,East,Clear,Road,Textile,657.0,0.509,10.7,940.0,147.0,0.628,0.62,1
Supplier_C,Central,Clear,Road,Electronics,529.0,0.875,2.1,441.0,446.0,0.214,0.514,0
Supplier_A,South,Rain,Rail,Pharma,192.0,0.676,3.7,525.0,148.0,0.831,0.659,0
Supplier_E,South,Storm,Road,Electronics,770.0,0.707,9.3,251.0,268.0,0.207,0.022,1
Supplier_D,South,Storm,Road,Automotive,425.0,0.748,5.2,119.0,785.0,0.209,0.371,1
Supplier_D,South,Clear,Sea,Pharma,964.0,0.837,5.7,368.0,730.0,0.458,0.696,0
Supplier_A,North,Clear,Rail,Automotive,185.0,0.557,9.2,427.0,753.0,0.438,0.31,0
Supplier_B,North,Clear,Road,Automotive,503.0,0.591,3.8,479.0,181.0,0.364,0.28,0
Supplier_D,South,Rain,Road,Electronics,368.0,0.78,1.6,164.0,269.0,0.514,0.472,0
Supplier_E,East,Heatwave,Air,Pharma,296.0,0.96,1.8,539.0,575.0,0.401,0.496,0
Supplier_C,South,Flood,Road,Electronics,423.0,0.776,7.7,271.0,657.0,0.763,0.382,1
Supplier_E,South,Heatwave,Road,Electronics,1010.0,0.661,6.8,530.0,324.0,0.339,0.906,1
Supplier_E,West,Flood,Rail,Food,587.0,0.458,3.9,588.0,373.0,0.179,0.563,1
Supplier_B,South,Heatwave,Rail,Pharma,344.0,0.923,2.5,349.0,251.0,0.24,0.301,0
Supplier_E,Central,Clear,Sea,Electronics,75.0,0.67,5.2,247.0,865.0,0.444,0.183,0
Supplier_B,West,Clear,Road,Food,102.0,0.608,9.3,698.0,396.0,0.447,0.589,0
Supplier_B,North,Clear,Road,Food,411.0,0.523,3.5,577.0,507.0,0.391,0.296,0
Supplier_D,South,Clear,Rail,Textile,385.0,0.564,4.0,447.0,518.0,0.18,0.974,0
Supplier_D,North,Clear,Rail,Automotive,492.0,0.636,2.4,684.0,743.0,0.572,0.594,0
Supplier_A,South,Clear,Road,Pharma,50.0,0.744,4.9,435.0,290.0,0.737,0.623,0
Supplier_E,South,Heatwave,Rail,Food,526.0,0.599,7.0,308.0,757.0,0.356,0.555,0
Supplier_A,North,Clear,Road,Electronics,817.0,0.808,12.3,240.0,219.0,0.712,0.747,1
Supplier_E,North,Heatwave,Sea,Pharma,972.0,0.743,6.7,401.0,756.0,0.523,0.01,1
Supplier_A,East,Storm,Sea,Food,57.0,1.0,5.8,559.0,123.0,0.794,0.235,1
Supplier_D,West,Rain,Road,Electronics,342.0,0.524,8.6,670.0,477.0,0.445,0.728,1
Supplier_D,South,Rain,Sea,Textile,328.0,0.804,8.1,424.0,858.0,0.377,0.83,0
Supplier_D,Central,Clear,Sea,Food,588.0,0.806,4.3,638.0,653.0,0.518,0.228,0
Supplier_D,South,Rain,Road,Automotive,233.0,0.625,12.9,381.0,593.0,0.263,0.1,0
Supplier_C,Central,Clear,Road,Pharma,987.0,0.794,5.9,279.0,269.0,0.431,0.537,0
Supplier_D,South,Heatwave,Rail,Textile,561.0,0.895,6.7,185.0,338.0,0.616,0.607,0
Supplier_B,East,Clear,Road,Pharma,518.0,0.794,7.7,329.0,796.0,0.514,0.532,0
Supplier_D,West,Clear,Road,Textile,964.0,0.988,7.0,192.0,604.0,0.344,0.487,0
Supplier_C,North,Storm,Road,Food,546.0,0.453,10.6,782.0,696.0,0.39,0.093,1
Supplier_C,Central,Rain,Sea,Automotive,654.0,0.654,4.2,499.0,516.0,0.502,0.417,0
Supplier_C,South,Clear,Road,Pharma,355.0,1.0,8.4,403.0,438.0,0.495,0.45,0
Supplier_C,East,Rain,Air,Textile,194.0,0.917,6.5,730.0,669.0,0.5,0.379,0
Supplier_A,West,Clear,Road,Electronics,391.0,0.861,8.9,186.0,557.0,0.418,0.078,0
Supplier_A,West,Rain,Road,Electronics,1119.0,0.965,5.4,395.0,463.0,0.185,0.629,0
Supplier_B,North,Clear,Sea,Food,715.0,,4.9,780.0,189.0,0.217,0.69,0
Supplier_A,Central,Clear,Road,Textile,621.0,0.899,8.2,394.0,710.0,0.442,0.325,0
Supplier_C,West,Clear,Road,Textile,296.0,0.94,7.1,860.0,597.0,0.516,0.459,0
Supplier_D,Central,Clear,Road,Textile,787.0,0.681,3.5,561.0,367.0,0.49,0.391,0
Supplier_D,East,Clear,Air,Food,197.0,1.0,10.0,655.0,759.0,0.215,0.393,0
Supplier_C,West,Clear,Road,Textile,143.0,0.809,8.2,660.0,554.0,0.32,0.608,0
Supplier_E,East,Clear,Road,Food,405.0,0.451,5.8,420.0,558.0,0.115,0.614,0
Supplier_C,Central,Clear,Road,Food,1058.0,0.837,4.6,332.0,694.0,0.072,0.736,0
Supplier_A,Central,Rain,Road,Electronics,1043.0,0.672,7.1,399.0,647.0,0.366,0.732,1
Supplier_D,Central,Clear,Road,Automotive,433.0,0.955,8.0,242.0,565.0,0.622,0.462,0
Supplier_C,East,Rain,Rail,Pharma,375.0,0.862,1.2,408.0,459.0,0.37,1.0,0
Supplier_D,West,Heatwave,Road,Electronics,124.0,0.69,7.1,419.0,936.0,0.732,0.841,1
Supplier_C,South,Clear,Road,Pharma,570.0,1.0,8.0,724.0,339.0,0.317,0.355,0
Supplier_C,East,Heatwave,Rail,Automotive,592.0,0.921,1.0,527.0,664.0,0.356,0.528,0
Supplier_A,West,Clear,Air,Pharma,755.0,0.656,6.6,845.0,482.0,0.152,0.063,0
Supplier_C,North,Clear,Road,Pharma,787.0,0.757,8.1,31.0,600.0,0.281,0.506,0
Supplier_D,West,Storm,Road,Pharma,499.0,0.858,7.7,201.0,771.0,0.112,0.868,1
Supplier_B,North,Storm,Road,Food,695.0,0.725,8.4,356.0,431.0,0.041,1.0,1
Supplier_D,East,Flood,Sea,Automotive,368.0,0.73,5.0,689.0,632.0,0.115,0.473,1
Supplier_A,East,Clear,Road,Automotive,690.0,0.786,2.9,400.0,558.0,0.367,0.574,0
Supplier_B,East,Storm,Road,Electronics,418.0,0.62,1.0,156.0,359.0,0.203,0.633,1
Supplier_C,East,Clear,Road,Pharma,669.0,0.445,9.3,376.0,777.0,0.25,0.936,0
Supplier_E,East,Clear,Road,Automotive,648.0,0.816,8.1,204.0,656.0,0.432,0.284,0
Supplier_B,East,Clear,Road,Pharma,568.0,0.482,9.5,169.0,404.0,0.04,1.0,0
Supplier_B,East,Heatwave,Road,Electronics,757.0,0.631,3.8,780.0,743.0,0.366,0.43,1
Supplier_C,East,Clear,Rail,Pharma,142.0,0.514,8.4,357.0,317.0,0.52,0.243,0
Supplier_E,West,Flood,Rail,Automotive,273.0,0.533,,451.0,494.0,0.537,0.431,1
Supplier_E,East,Rain,Air,Automotive,480.0,0.844,3.4,403.0,406.0,0.453,0.322,0
Supplier_A,West,Storm,Air,Electronics,175.0,0.747,6.4,375.0,665.0,0.34,0.592,1
Supplier_B,Central,Storm,Road,Automotive,444.0,0.741,8.0,269.0,394.0,0.225,0.136,1
Supplier_E,Central,Flood,Sea,Electronics,453.0,0.583,11.0,364.0,667.0,0.334,0.531,1
Supplier_A,North,Clear,Air,Automotive,891.0,0.682,5.3,481.0,631.0,0.681,,0
Supplier_E,West,Clear,Sea,Food,587.0,0.836,3.4,675.0,417.0,0.405,0.826,0
Supplier_B,South,Rain,Air,Electronics,818.0,0.772,3.2,591.0,903.0,0.329,0.65,0
Supplier_E,North,Clear,Road,Pharma,628.0,0.903,3.9,201.0,336.0,0.463,0.813,0
Supplier_B,West,Clear,Road,Textile,411.0,0.925,12.7,598.0,190.0,0.36,0.367,0
Supplier_C,North,Clear,Road,Food,585.0,0.742,8.3,506.0,688.0,0.395,0.587,0
Supplier_D,Central,Clear,Road,Automotive,740.0,0.502,9.3,308.0,27.0,0.301,0.01,0
Supplier_A,West,Clear,Rail,Automotive,860.0,0.667,5.3,453.0,828.0,0.267,0.475,0
Supplier_C,Central,Clear,Road,Electronics,516.0,0.765,6.0,523.0,522.0,0.549,0.585,0
Supplier_C,West,Heatwave,Road,Textile,122.0,,8.1,428.0,186.0,0.01,0.605,0
Supplier_D,Central,Clear,Sea,Pharma,103.0,0.622,4.5,506.0,291.0,0.446,0.154,0
Supplier_E,North,Heatwave,Air,Automotive,465.0,0.79,5.1,265.0,141.0,0.255,,0
Supplier_D,Central,Heatwave,Rail,Food,50.0,1.0,4.0,779.0,584.0,0.01,0.445,0
Supplier_C,North,Clear,Road,Food,1017.0,0.707,4.7,73.0,208.0,0.155,0.406,0
Supplier_C,South,Storm,Rail,Pharma,705.0,0.78,6.1,524.0,610.0,0.343,0.66,1
Supplier_C,North,Rain,Sea,Textile,385.0,0.583,3.5,486.0,433.0,0.37,0.452,0
Supplier_E,East,Rain,Air,Electronics,261.0,0.967,6.9,536.0,395.0,0.498,0.522,0
Supplier_B,West,Clear,Rail,Textile,817.0,0.911,6.9,292.0,612.0,0.512,0.392,0
Supplier_A,South,Clear,Rail,Pharma,260.0,0.901,5.5,630.0,637.0,0.041,0.734,0
Supplier_B,Central,Clear,Road,Textile,285.0,0.984,3.5,401.0,752.0,0.426,0.751,0
Supplier_A,West,Rain,Air,Electronics,351.0,0.716,6.3,206.0,361.0,0.496,0.432,0
Supplier_A,West,Heatwave,Sea,Electronics,580.0,0.735,4.5,223.0,493.0,0.394,1.0,1
Supplier_A,Central,Rain,Road,Electronics,711.0,1.0,6.1,442.0,360.0,0.45,0.331,0
Supplier_D,East,Storm,Road,Food,860.0,0.875,9.3,133.0,536.0,0.01,0.722,1
Supplier_D,South,Heatwave,Road,Pharma,822.0,0.447,2.2,744.0,329.0,0.152,0.291,1
Supplier_D,Central,Rain,Road,Food,550.0,0.848,12.5,609.0,407.0,0.623,0.67,1
Supplier_C,East,Clear,Sea,Textile,815.0,0.693,5.8,749.0,408.0,0.294,0.653,0
Supplier_D,West,Flood,Air,Electronics,376.0,,7.2,730.0,565.0,0.795,0.277,1
Supplier_A,South,Clear,Road,Food,77.0,0.841,3.7,357.0,501.0,0.094,0.471,0
Supplier_E,South,Clear,Road,Automotive,376.0,0.519,9.4,264.0,611.0,0.663,0.911,1
Supplier_C,North,Rain,Road,Food,340.0,0.82,5.6,20.0,476.0,0.228,0.321,0
Supplier_E,South,Heatwave,Road,Textile,386.0,0.812,4.8,347.0,372.0,0.522,0.588,1
Supplier_A,North,Clear,Rail,Automotive,301.0,0.835,4.3,738.0,542.0,0.291,0.574,0
Supplier_C,West,Rain,Sea,Electronics,430.0,0.866,5.2,271.0,298.0,0.373,0.491,0
Supplier_D,North,Clear,Air,Food,711.0,1.0,7.3,382.0,625.0,0.469,0.119,0
Supplier_C,West,Clear,Road,Pharma,996.0,0.842,6.5,320.0,437.0,0.227,0.682,0
Supplier_C,Central,Clear,Air,Electronics,101.0,0.783,5.9,487.0,545.0,0.51,0.503,0
Supplier_A,West,Storm,Air,Textile,215.0,0.952,3.9,651.0,548.0,0.297,0.743,1
Supplier_B,East,Flood,Road,Pharma,344.0,1.0,3.7,143.0,852.0,0.386,0.551,1
Supplier_B,North,Clear,Rail,Electronics,749.0,0.917,4.6,177.0,584.0,0.01,0.514,0
Supplier_B,Central,Clear,Rail,Pharma,497.0,0.811,7.4,688.0,516.0,0.283,0.582,0
Supplier_D,North,Clear,Sea,Textile,362.0,0.845,8.0,552.0,348.0,0.603,0.283,0
Supplier_D,West,Clear,Road,Food,736.0,0.818,8.4,373.0,677.0,0.489,0.843,0
Supplier_D,West,Rain,Road,Textile,799.0,0.783,6.0,727.0,441.0,0.527,0.417,1
Supplier_B,North,Rain,Rail,Food,545.0,1.0,7.2,174.0,164.0,0.361,0.42,0
Supplier_E,West,Rain,Road,Electronics,338.0,0.668,5.5,588.0,457.0,0.685,,1
Supplier_A,North,Clear,Road,Pharma,620.0,0.953,1.0,408.0,542.0,0.408,0.554,0
Supplier_B,South,Rain,Air,Electronics,489.0,0.761,5.4,529.0,320.0,0.218,0.448,0
Supplier_A,Central,Clear,Road,Food,487.0,0.558,4.9,20.0,474.0,0.521,0.591,0
Supplier_B,Central,Clear,Rail,Pharma,417.0,0.752,2.9,373.0,484.0,0.535,0.638,0
Supplier_E,South,Heatwave,Sea,Textile,790.0,0.698,4.3,553.0,488.0,0.476,0.474,1
Supplier_B,Central,Storm,Rail,Pharma,615.0,0.867,6.4,409.0,772.0,0.269,0.703,1
Supplier_E,Central,Heatwave,Rail,Pharma,819.0,0.794,2.6,646.0,211.0,0.406,0.22,0
Supplier_C,West,Heatwave,Rail,Textile,897.0,0.627,3.9,640.0,947.0,0.629,0.558,1
Supplier_D,North,Rain,Road,Food,669.0,1.0,10.6,247.0,493.0,0.446,0.676,0
Supplier_C,South,Heatwave,Road,Electronics,418.0,0.944,1.2,568.0,628.0,0.054,0.637,0
Supplier_B,West,Clear,Air,Food,820.0,1.0,5.5,241.0,528.0,0.224,0.01,0
Supplier_D,Central,Clear,Road,Pharma,671.0,0.816,2.5,430.0,120.0,0.215,0.472,0
Supplier_E,Central,Clear,Road,Automotive,1227.0,0.775,3.7,538.0,268.0,0.199,0.233,0
Supplier_B,East,Clear,Road,Food,631.0,0.886,5.4,270.0,385.0,0.01,0.783,0
Supplier_D,South,Clear,Sea,Automotive,731.0,0.693,3.0,562.0,719.0,0.728,0.414,0
Supplier_B,Central,Clear,Road,Textile,626.0,0.8,7.7,329.0,195.0,0.175,0.758,0
Supplier_D,South,Storm,Air,Automotive,524.0,0.754,10.1,315.0,312.0,0.189,0.232,0
Supplier_D,South,Storm,Road,Pharma,483.0,0.561,8.5,547.0,536.0,0.01,0.586,1
Supplier_C,Central,Rain,Rail,Pharma,627.0,0.799,9.1,270.0,604.0,0.523,0.502,0
Supplier_D,East,Clear,Road,Food,686.0,0.714,1.9,260.0,597.0,0.332,1.0,0
Supplier_B,South,Storm,Road,Food,850.0,0.744,5.3,607.0,284.0,0.28,0.759,1
Supplier_A,North,Clear,Rail,Pharma,630.0,0.835,7.4,440.0,148.0,0.29,0.745,0
Supplier_A,East,Clear,Air,Textile,430.0,0.971,8.6,158.0,619.0,0.468,0.946,0
Supplier_C,Central,Clear,Road,Textile,465.0,0.653,11.3,574.0,815.0,0.254,0.562,0
Supplier_E,East,Clear,Road,Pharma,206.0,0.73,9.2,347.0,424.0,0.01,0.478,0
Supplier_A,West,Clear,Road,Automotive,982.0,0.665,8.7,167.0,248.0,0.092,0.453,0
Supplier_C,South,Storm,Road,Textile,409.0,0.655,13.9,20.0,405.0,0.081,0.572,1
Supplier_D,West,Storm,Rail,Electronics,802.0,0.691,6.3,583.0,587.0,0.405,0.01,1
Supplier_B,West,Rain,Road,Pharma,622.0,0.751,5.1,265.0,449.0,0.536,0.501,0
Supplier_D,West,Clear,Rail,Automotive,629.0,0.868,6.5,196.0,810.0,0.643,0.55,0
Supplier_B,West,Storm,Road,Food,519.0,0.828,3.3,535.0,703.0,0.023,0.466,1
Supplier_E,East,Rain,Rail,Automotive,345.0,0.621,6.2,565.0,541.0,0.474,0.163,1
Supplier_C,South,Clear,Road,Food,298.0,,1.0,278.0,70.0,0.227,0.467,0
Supplier_C,West,Rain,Rail,Electronics,999.0,0.922,4.4,584.0,348.0,0.935,0.163,0
Supplier_A,Central,Rain,Road,Food,580.0,0.645,5.7,790.0,379.0,0.627,0.89,1
Supplier_C,Central,Clear,Sea,Food,843.0,0.964,8.8,662.0,336.0,0.69,0.443,0
Supplier_E,South,Clear,Rail,Textile,910.0,0.829,9.3,634.0,542.0,0.51,0.046,0
Supplier_A,West,Rain,Sea,Electronics,443.0,0.757,3.1,477.0,547.0,0.426,0.455,1
Supplier_D,North,Clear,Road,Electronics,660.0,0.834,12.2,340.0,132.0,0.269,0.697,0
Supplier_C,East,Clear,Road,Electronics,562.0,0.776,6.4,410.0,677.0,0.23,0.539,0
Supplier_D,East,Clear,Road,Food,249.0,0.862,6.7,499.0,504.0,0.19,0.299,0
Supplier_D,South,Heatwave,Road,Textile,502.0,0.808,1.1,194.0,579.0,0.474,0.351,0
Supplier_C,Central,Clear,Air,Automotive,703.0,0.729,4.1,282.0,664.0,0.662,0.437,0
Supplier_B,Central,Clear,Sea,Textile,420.0,0.476,9.1,163.0,331.0,0.279,0.403,0
Supplier_D,North,Clear,Rail,Textile,466.0,0.859,6.5,462.0,777.0,0.206,0.223,0
Supplier_A,South,Flood,Rail,Automotive,505.0,0.724,6.3,435.0,469.0,0.053,0.485,1
Supplier_C,South,Rain,Road,Automotive,1099.0,0.897,6.7,303.0,833.0,0.399,0.207,0
Supplier_A,Central,Heatwave,Road,Pharma,73.0,0.852,1.7,568.0,303.0,0.596,0.709,0
Supplier_D,East,Clear,Air,Textile,680.0,,5.7,232.0,816.0,0.606,0.736,0
Supplier_D,West,Clear,Road,Automotive,484.0,0.933,10.2,296.0,301.0,0.626,0.279,0
Supplier_A,Central,Rain,Road,Textile,383.0,0.811,9.3,560.0,1061.0,0.433,0.342,0
Supplier_D,West,Clear,Sea,Textile,478.0,0.805,5.6,587.0,291.0,0.368,0.407,0
Supplier_C,North,Storm,Sea,Pharma,724.0,0.759,10.7,277.0,732.0,0.606,0.493,1
Supplier_D,North,Flood,Rail,Electronics,738.0,1.0,2.2,462.0,420.0,0.128,0.557,1
Supplier_A,South,Clear,Road,Textile,598.0,0.673,3.1,280.0,657.0,0.262,0.602,0
Supplier_A,South,Heatwave,Sea,Food,834.0,0.732,11.6,384.0,491.0,0.692,0.597,1
Supplier_C,West,Rain,Road,Textile,880.0,0.594,7.7,446.0,260.0,0.135,0.842,1
Supplier_A,North,Clear,Road,Automotive,762.0,0.889,5.1,521.0,20.0,0.343,0.513,0
Supplier_B,South,Rain,Road,Pharma,408.0,0.693,5.8,477.0,1052.0,0.476,0.213,0
Supplier_D,South,Clear,Sea,Pharma,679.0,0.709,3.6,469.0,516.0,0.367,0.146,0
Supplier_A,North,Storm,Sea,Automotive,680.0,0.702,6.8,226.0,20.0,0.58,0.86,1
Supplier_D,North,Clear,Air,Pharma,338.0,0.789,6.6,490.0,567.0,0.655,0.612,0
Supplier_A,North,Clear,Road,Pharma,142.0,0.592,6.1,519.0,652.0,0.446,0.545,0
Supplier_A,East,Rain,Rail,Pharma,50.0,0.444,2.5,544.0,343.0,0.628,0.599,0
Supplier_C,East,Clear,Road,Automotive,568.0,0.849,6.8,290.0,344.0,0.164,0.535,0
Supplier_D,East,Clear,Sea,Electronics,627.0,0.463,4.4,585.0,496.0,0.318,0.595,0
Supplier_A,East,Rain,Road,Electronics,243.0,0.908,3.0,183.0,765.0,0.831,0.418,0
Supplier_B,West,Clear,Road,Electronics,822.0,1.0,9.8,342.0,522.0,0.739,0.732,0
Supplier_E,Central,Clear,Air,Automotive,590.0,0.755,12.5,370.0,822.0,0.095,0.385,0
Supplier_E,East,Clear,Rail,Electronics,901.0,0.975,11.8,193.0,749.0,0.347,0.301,0
Supplier_C,West,Clear,Sea,Food,646.0,0.776,8.0,368.0,450.0,0.377,0.128,0
Supplier_C,West,Clear,Road,Electronics,273.0,1.0,5.2,460.0,154.0,0.433,0.448,0
Supplier_B,West,Storm,Sea,Food,669.0,0.712,5.8,91.0,450.0,0.605,0.779,1
Supplier_D,North,Heatwave,Road,Electronics,724.0,0.425,7.2,349.0,616.0,0.718,0.399,1
Supplier_C,Central,Clear,Road,Electronics,408.0,0.768,4.7,105.0,513.0,0.357,0.197,0
Supplier_B,North,Heatwave,Rail,Food,175.0,1.0,10.0,787.0,640.0,0.574,0.563,0
